time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1663860957363969800,0.2309697265625,0.3751698136329651,0.20961052179336548,0.0859241932630539,0.8988481760025024,0.33495375514030457,-0.317028671503067,-0.7367764115333557
1663860957373857500,0.240857421875,0.4066475033760071,0.19606703519821167,0.07580743730068207,0.8890718221664429,0.3049818277359009,-0.29867786169052124,-0.8117173314094543
1663860957383745300,0.250745361328125,0.42885151505470276,0.18597860634326935,0.06757814437150955,0.8814371824264526,0.28486230969429016,-0.2823841869831085,-0.8648779988288879
1663860957393633000,0.260633056640625,0.4401018023490906,0.18002936244010925,0.0651882216334343,0.8772971630096436,0.2720370292663574,-0.27634525299072266,-0.8918842077255249
1663860957403520800,0.270520751953125,0.44983652234077454,0.1735532581806183,0.0661589726805687,0.8735842108726501,0.25602152943611145,-0.27519235014915466,-0.9154008030891418
1663860957413408500,0.280408447265625,0.46618035435676575,0.16365955770015717,0.0687461718916893,0.8666979670524597,0.23020555078983307,-0.2752152383327484,-0.9549639821052551
1663860957423296000,0.2902958984375,0.4792986512184143,0.15476611256599426,0.07324723899364471,0.8607875108718872,0.2055066078901291,-0.2780270576477051,-0.9872662425041199
1663860957433183700,0.300183837890625,0.4881238639354706,0.14860263466835022,0.07815699279308319,0.8564717173576355,0.18669797480106354,-0.28270208835601807,-1.009379506111145
1663860957443071500,0.310071533203125,0.4950631856918335,0.14342889189720154,0.08287392556667328,0.8529199957847595,0.17038515210151672,-0.28731924295425415,-1.02711021900177
1663860957452959200,0.319959228515625,0.4997358024120331,0.13945002853870392,0.08725090324878693,0.8504146337509155,0.1572476476430893,-0.29190295934677124,-1.039398431777954
1663860957462847000,0.329846923828125,0.5004458427429199,0.13699427247047424,0.09163446724414825,0.8499351143836975,0.14817173779010773,-0.2972407937049866,-1.042069435119629
1663860957472734500,0.339734375,0.4998384416103363,0.1339174509048462,0.09719212353229523,0.8501654863357544,0.13723787665367126,-0.3037838637828827,-1.0419561862945557
1663860957482591700,0.349591796875,0.5000114440917969,0.12792469561100006,0.10504874587059021,0.8500521183013916,0.11839643865823746,-0.31153637170791626,-1.0448002815246582
1663860957492479500,0.3594794921875,0.49979835748672485,0.12111563235521317,0.11298443377017975,0.8501571416854858,0.09807887673377991,-0.3185352385044098,-1.0471675395965576
1663860957502367200,0.3693671875,0.4953691363334656,0.11760088801383972,0.11832328885793686,0.8525133728981018,0.08796660602092743,-0.3238893449306488,-1.0383861064910889
1663860957512254700,0.379254638671875,0.48777782917022705,0.11909551918506622,0.1193884089589119,0.8565252423286438,0.09256080538034439,-0.3264712393283844,-1.0201032161712646
1663860957522142500,0.389142578125,0.4829299747943878,0.12168458849191666,0.11776849627494812,0.8591286540031433,0.10079540312290192,-0.32561007142066956,-1.0076252222061157
1663860957532030200,0.3990302734375,0.4864136278629303,0.12181027978658676,0.11498048901557922,0.8575217127799988,0.10246378183364868,-0.3211910128593445,-1.01534104347229
1663860957541918000,0.40891796875,0.49217888712882996,0.12057778984308243,0.11224532127380371,0.8547642230987549,0.10078790783882141,-0.31580132246017456,-1.02881920337677
1663860957551805700,0.4188056640625,0.4947079122066498,0.11977766454219818,0.11200620234012604,0.8534471392631531,0.09862793236970901,-0.31486982107162476,-1.034986972808838
