time,seconds_elapsed,z,y,x
1663862554551429600,0.2464296875,0.6250457763671875,-0.653045654296875,0.439544677734375
1663862554561317400,0.2563173828125,0.4354248046875,-0.6157684326171875,0.6728363037109375
1663862554571205000,0.266205078125,0.0498046875,-0.6615753173828125,0.790008544921875
1663862554581092900,0.2760927734375,-0.3070526123046875,-0.7574462890625,0.848602294921875
1663862554590980400,0.28598046875,-0.522247314453125,-0.867156982421875,0.8826904296875
1663862554600868000,0.2958681640625,-0.613861083984375,-0.8991241455078125,0.92742919921875
1663862554610755800,0.305755859375,-0.6394195556640625,-0.835205078125,0.9806976318359375
1663862554620643600,0.3156435546875,-0.6372833251953125,-0.7254791259765625,0.9817657470703125
1663862554630531300,0.32553125,-0.5829620361328125,-0.5454559326171875,0.88482666015625
1663862554640418800,0.335418701171875,-0.3944091796875,-0.31109619140625,0.676025390625
1663862554650306600,0.345306640625,-0.06097412109375,-0.0778045654296875,0.3628387451171875
1663862554660133400,0.35513330078125,0.2064056396484375,0.1160736083984375,0.0880126953125
1663862554669990400,0.364990478515625,0.290557861328125,0.25775146484375,0.03900146484375
1663862554679908600,0.37490869140625,0.3182525634765625,0.326995849609375,0.1934661865234375
1663862554689796400,0.38479638671875,0.3416900634765625,0.3216705322265625,0.3543243408203125
1663862554699684000,0.39468408203125,0.2958831787109375,0.270538330078125,0.3958740234375
1663862554709571800,0.40457177734375,0.1488800048828125,0.2779998779296875,0.3202362060546875
1663862554719428900,0.414428955078125,-0.0332794189453125,0.3238067626953125,0.1838836669921875
1663862554729316600,0.424316650390625,-0.1398162841796875,0.3227386474609375,0.063507080078125
1663862554739174000,0.434173828125,-0.097198486328125,0.270538330078125,0.0475311279296875
1663862554749092000,0.444092041015625,0.0668487548828125,0.204498291015625,0.1497955322265625
1663862554758979600,0.4539794921875,0.2596588134765625,0.101165771484375,0.3021240234375
1663862554768867300,0.463867431640625,0.389617919921875,0.0478973388671875,0.4267578125
1663862554778724600,0.473724609375,0.3970794677734375,0.1160736083984375,0.43634033203125
1663862554788581600,0.48358154296875,0.3203887939453125,0.237518310546875,0.2946624755859375
1663862554798469400,0.493469482421875,0.22344970703125,0.45269775390625,0.0432586669921875
1663862554808357000,0.503357177734375,0.11798095703125,0.6156768798828125,-0.2038726806640625
1663862554818214400,0.51321435546875,0.039154052734375,0.6519012451171875,-0.357269287109375
1663862554828132600,0.523132568359375,0.0103912353515625,0.5741424560546875,-0.4329071044921875
1663862554838020400,0.533020263671875,0.07110595703125,0.3813323974609375,-0.394561767578125
1663862554847907800,0.542907958984375,0.210662841796875,0.112884521484375,-0.2422332763671875
1663862554857795600,0.552795654296875,0.321441650390625,-0.1097564697265625,-0.096282958984375
1663862554867683300,0.562683349609375,0.3278350830078125,-0.1907196044921875,-0.0920257568359375
1663862554877571000,0.572571044921875,0.2639312744140625,-0.1438446044921875,-0.21240234375
1663862554887458800,0.582458740234375,0.2330322265625,0.030853271484375,-0.3540802001953125
1663862554897315800,0.59231591796875,0.2266387939453125,0.2194061279296875,-0.4318389892578125
1663862554907203600,0.60220361328125,0.2287750244140625,0.268402099609375,-0.4201202392578125
1663862554917060900,0.612060791015625,0.2969512939453125,0.167205810546875,-0.3178558349609375
1663862554926948400,0.6219482421875,0.3757781982421875,0.007415771484375,-0.1602020263671875
1663862554936836000,0.631836181640625,0.3736419677734375,-0.0884552001953125,-0.004669189453125
1663862554946723800,0.641723876953125,0.401336669921875,-0.1097564697265625,0.098663330078125
1663862554956611600,0.651611572265625,0.5217132568359375,-0.138519287109375,0.0933380126953125
1663862554966468600,0.661468505859375,0.6580657958984375,-0.266357421875,0.0326080322265625
1663862554976356400,0.6713564453125,0.723052978515625,-0.56463623046875,-0.0142669677734375
1663862554986244000,0.681244140625,0.6964263916015625,-1.062103271484375,-0.030242919921875
1663862554996101400,0.691101318359375,0.5930938720703125,-1.518035888671875,0.0326080322265625
1663862555006019600,0.70101953125,0.3757781982421875,-1.6256256103515625,0.1838836669921875
1663862555015907000,0.710906982421875,0.1360931396484375,-1.358245849609375,0.369232177734375
1663862555025794800,0.720794921875,0.0199737548828125,-0.9534454345703125,0.4906768798828125
1663862555035682600,0.7306826171875,0.0902862548828125,-0.6956634521484375,0.451263427734375
1663862555045570300,0.7405703125,0.2298431396484375,-0.6583709716796875,0.324493408203125
1663862555055458000,0.7504580078125,0.28948974609375,-0.6370697021484375,0.2616424560546875
1663862555065345800,0.760345703125,0.2841644287109375,-0.4996490478515625,0.2414093017578125
1663862555075202800,0.770202880859375,0.2607269287109375,-0.241851806640625,0.2414093017578125
1663862555085060000,0.78006005859375,0.3065338134765625,0.02020263671875,0.242462158203125
1663862555094947800,0.78994775390625,0.4205169677734375,0.0265960693359375,0.23394775390625
1663862555104835300,0.79983544921875,0.504669189453125,-0.2013702392578125,0.31597900390625
1663862555114692600,0.809692626953125,0.4822998046875,-0.4879302978515625,0.4565887451171875
1663862555124610800,0.81961083984375,0.392822265625,-0.6754150390625,0.5205078125
1663862555134498600,0.82949853515625,0.2330322265625,-0.4900665283203125,0.50665283203125
1663862555144386300,0.83938623046875,0.1563262939453125,-0.232269287109375,0.383087158203125
1663862555154273800,0.849273681640625,0.2170562744140625,-0.0639495849609375,0.2307586669921875
1663862555164161500,0.85916162109375,0.288421630859375,0.06494140625,0.2200927734375
1663862555174049300,0.86904931640625,0.3289031982421875,-0.03839111328125,0.390533447265625
1663862555183906600,0.878906494140625,0.3885650634765625,-0.495391845703125,0.6802978515625
1663862555193794000,0.8887939453125,0.4908294677734375,-1.175018310546875,0.998809814453125
