time,seconds_elapsed,z,y,x
1663862554502815200,0.197815185546875,-40.26031494140625,-24.72991943359375,-2.783203125
1663862554522804200,0.21780419921875,-38.29803466796875,-25.6317138671875,-2.1759033203125
1663862554542793200,0.237793212890625,-39.51263427734375,-25.34332275390625,-3.70025634765625
1663862554562782200,0.2577822265625,-40.14129638671875,-26.1138916015625,-4.77142333984375
1663862554582771200,0.277771240234375,-38.92974853515625,-26.5625,-4.315185546875
1663862554602760200,0.29776025390625,-37.72430419921875,-27.1728515625,-4.77447509765625
1663862554622749200,0.317749267578125,-38.03863525390625,-27.48565673828125,-5.84259033203125
1663862554642738200,0.33773828125,-37.274169921875,-27.47344970703125,-4.4708251953125
1663862554662727200,0.35772705078125,-37.8814697265625,-27.33306884765625,-5.69000244140625
1663862554682716200,0.377716064453125,-37.005615234375,-29.010009765625,-6.61163330078125
1663862554702705400,0.397705322265625,-36.87896728515625,-30.206298828125,-4.3304443359375
1663862554722663700,0.41766357421875,-38.226318359375,-29.1412353515625,-3.86962890625
1663862554742683400,0.437683349609375,-37.14141845703125,-28.37982177734375,-3.86505126953125
1663862554762672400,0.45767236328125,-37.75482177734375,-28.533935546875,-4.0191650390625
1663862554782631000,0.477630859375,-36.871337890625,-29.90570068359375,-4.63409423828125
1663862554802955500,0.49795556640625,-37.7655029296875,-28.99322509765625,-4.47845458984375
1663862554822731000,0.51773095703125,-36.75537109375,-31.55975341796875,-2.6611328125
1663862554842628400,0.53762841796875,-36.114501953125,-30.18951416015625,-2.50091552734375
1663862554862647800,0.557647705078125,-36.2396240234375,-28.97796630859375,-2.95257568359375
1663862554882576000,0.577575927734375,-37.43896484375,-28.070068359375,-3.10211181640625
1663862554902595300,0.59759521484375,-36.83624267578125,-28.37677001953125,-3.55987548828125
1663862554922584300,0.617584228515625,-35.43853759765625,-27.1759033203125,-5.8380126953125
1663862554942573600,0.637573486328125,-37.750244140625,-28.24249267578125,-5.5419921875
1663862554962562600,0.6575625,-37.4298095703125,-27.61993408203125,-3.86199951171875
1663862554982551600,0.677551513671875,-37.4420166015625,-28.094482421875,-6.1492919921875
1663862555002510000,0.697510009765625,-37.43438720703125,-27.65655517578125,-8.28094482421875
1663862555022529500,0.717529541015625,-35.4461669921875,-27.490234375,-7.0587158203125
1663862555042518500,0.7375185546875,-36.077880859375,-28.40728759765625,-7.52105712890625
1663862555062507500,0.757507568359375,-36.395263671875,-28.88336181640625,-9.80987548828125
1663862555082496500,0.77749658203125,-36.85302734375,-28.8848876953125,-9.8114013671875
1663862555102485500,0.797485595703125,-36.2640380859375,-29.78973388671875,-9.2041015625
1663862555122444000,0.817444091796875,-33.50067138671875,-28.88946533203125,-11.1785888671875
1663862555142463500,0.83746337890625,-36.0809326171875,-28.436279296875,-10.87493896484375
1663862555162422000,0.857422119140625,-33.97216796875,-29.50897216796875,-12.40081787109375
1663862555182441700,0.877441650390625,-34.442138671875,-30.108642578125,-11.3372802734375
1663862555202430700,0.8974306640625,-33.3587646484375,-29.345703125,-11.33270263671875
1663862555222419700,0.917419677734375,-33.52813720703125,-29.97894287109375,-14.23187255859375
1663862555242399200,0.937399169921875,-32.36083984375,-32.26318359375,-15.15655517578125
1663862555262388200,0.95738818359375,-30.37567138671875,-32.1197509765625,-16.6778564453125
1663862555282377200,0.977377197265625,-28.22418212890625,-31.35986328125,-17.12799072265625
1663862555302366200,0.9973662109375,-28.67431640625,-30.9234619140625,-19.4122314453125
1663862555322355200,1.017355224609375,-25.6378173828125,-31.402587890625,-22.91717529296875
1663862555342313700,1.037313720703125,-24.2462158203125,-30.364990234375,-26.263427734375
1663862555362333200,1.057333251953125,-19.976806640625,-30.23223876953125,-29.76226806640625
1663862555382322400,1.077322509765625,-17.64678955078125,-28.277587890625,-32.79876708984375
1663862555402311400,1.0973115234375,-13.2110595703125,-27.5390625,-36.4471435546875
1663862555422269700,1.117269775390625,-9.2926025390625,-22.70050048828125,-40.38238525390625
1663862555442289400,1.137289306640625,-4.6142578125,-17.99468994140625,-42.18292236328125
1663862555462278400,1.1572783203125,-1.79901123046875,-14.82086181640625,-44.9066162109375
1663862555482267400,1.177267333984375,1.39923095703125,-8.15277099609375,-47.918701171875
1663862555502256400,1.19725634765625,1.0467529296875,-3.5797119140625,-46.22039794921875
1663862555522215000,1.21721484375,5.8868408203125,1.43890380859375,-46.9512939453125
1663862555542234400,1.237234375,6.2591552734375,4.33349609375,-46.17462158203125
1663862555562193000,1.25719287109375,8.17108154296875,7.97882080078125,-46.91619873046875
1663862555582212400,1.27721240234375,8.2733154296875,12.4114990234375,-43.99871826171875
1663862555602201300,1.297201416015625,8.95233154296875,15.4449462890625,-44.8974609375
1663862555622190600,1.317190673828125,8.6517333984375,15.6005859375,-44.28863525390625
1663862555642179600,1.3371796875,10.07080078125,17.730712890625,-44.42901611328125
1663862555662168600,1.35716845703125,10.04486083984375,16.5252685546875,-43.0633544921875
1663862555682432300,1.377432373046875,10.05401611328125,16.97235107421875,-44.12689208984375
1663862555702207500,1.39720751953125,12.04833984375,17.4407958984375,-43.20831298828125
1663862555722166000,1.417166015625,11.58294677734375,17.1234130859375,-44.73419189453125
1663862555742124500,1.43712451171875,11.3037109375,18.19915771484375,-43.20526123046875
1663862555762113500,1.457113525390625,14.02740478515625,17.291259765625,-43.359375
1663862555782102500,1.4771025390625,15.2862548828125,18.98040771484375,-41.67327880859375
1663862555802091500,1.497091552734375,15.75927734375,19.72808837890625,-43.19305419921875
1663862555822080500,1.51708056640625,16.07208251953125,20.03936767578125,-42.4285888671875
1663862555842069500,1.537069580078125,15.29541015625,19.293212890625,-40.60516357421875
1663862555862058800,1.557058837890625,14.48974609375,17.45452880859375,-42.138671875
1663862555882047700,1.5770478515625,14.79949951171875,17.7490234375,-43.3563232421875
1663862555902036700,1.59703662109375,15.09552001953125,17.30499267578125,-41.986083984375
1663862555922025700,1.617025634765625,16.95098876953125,18.3837890625,-40.75927734375
1663862555942014700,1.6370146484375,17.913818359375,20.379638671875,-38.46282958984375
1663862555962003700,1.657003662109375,21.99249267578125,25.28228759765625,-34.77630615234375
1663862555981992700,1.67699267578125,23.29254150390625,28.6590576171875,-31.2530517578125
1663862556001981700,1.696981689453125,21.39892578125,32.470703125,-29.25567626953125
1663862556021970700,1.716970703125,22.2259521484375,35.10284423828125,-23.7548828125
1663862556041929200,1.73692919921875,23.48480224609375,36.79046630859375,-22.06878662109375
1663862556061948700,1.75694873046875,21.07391357421875,37.884521484375,-17.95196533203125
1663862556081937700,1.776937744140625,22.314453125,38.7969970703125,-18.09844970703125
1663862556101927000,1.796927001953125,22.03369140625,39.85748291015625,-18.55010986328125
1663862556121916000,1.816916015625,20.52764892578125,40.63262939453125,-16.2628173828125
1663862556141905000,1.83690478515625,20.52001953125,40.32440185546875,-16.7205810546875
1663862556161863400,1.856863525390625,21.28143310546875,40.31829833984375,-17.78717041015625
1663862556181883000,1.8768828125,20.3887939453125,41.2353515625,-16.86859130859375
1663862556201872000,1.896871826171875,21.112060546875,39.434814453125,-14.28680419921875
1663862556221860900,1.91686083984375,21.57745361328125,39.8651123046875,-17.4835205078125
1663862556241849900,1.936849853515625,20.196533203125,39.55535888671875,-17.791748046875
1663862556261838800,1.9568388671875,21.57745361328125,39.8651123046875,-17.4835205078125
1663862556281827800,1.976827880859375,21.71783447265625,39.40582275390625,-17.94281005859375
1663862556301816800,1.99681689453125,21.43096923828125,40.04364013671875,-14.2822265625
1663862556321775400,2.016775390625,23.11553955078125,40.350341796875,-14.4317626953125
1663862556341795000,2.036795166015625,23.47259521484375,42.510986328125,-10.4583740234375
1663862556361784000,2.0567841796875,23.6328125,42.7001953125,-6.19049072265625
1663862556381742600,2.07674267578125,23.30780029296875,41.66259765625,-2.99530029296875
1663862556401762000,2.096761962890625,22.39990234375,41.84112548828125,0.5096435546875
1663862556421751000,2.1167509765625,21.685791015625,43.83697509765625,3.1097412109375
1663862556441740000,2.136739990234375,22.71270751953125,41.9036865234375,7.82623291015625
1663862556461729000,2.15672900390625,21.185302734375,41.7510986328125,8.12835693359375
1663862556481718000,2.176718017578125,17.3583984375,41.12701416015625,7.20672607421875
1663862556501707000,2.19670703125,16.78924560546875,42.82379150390625,10.26153564453125
1663862556521696000,2.216696044921875,13.7542724609375,43.30596923828125,14.0716552734375
1663862556542020900,2.237020751953125,15.11383056640625,42.71087646484375,15.289306640625
1663862556561948700,2.25694873046875,14.83612060546875,43.92547607421875,15.29388427734375
1663862556581724200,2.27672412109375,14.5111083984375,43.01605224609375,15.594482421875
1663862556601652200,2.29665234375,14.208984375,43.15948486328125,14.68048095703125
1663862556621641200,2.31664111328125,13.73443603515625,42.4041748046875,15.2862548828125
1663862556641630200,2.336630126953125,14.52484130859375,43.61724853515625,14.83612060546875
1663862556661619200,2.356619140625,13.75274658203125,43.29681396484375,13.0035400390625
1663862556681608200,2.376608154296875,14.6697998046875,43.44024658203125,11.78741455078125
1663862556701597200,2.39659716796875,14.95513916015625,42.535400390625,12.54425048828125
1663862556721586200,2.416586181640625,14.51568603515625,43.29833984375,13.00506591796875
1663862556741575200,2.4365751953125,13.57269287109375,42.07916259765625,12.84637451171875
1663862556761564200,2.456564208984375,15.88592529296875,43.292236328125,11.94000244140625
1663862556781553200,2.47655322265625,14.51568603515625,43.2952880859375,12.69989013671875
1663862556801542400,2.49654248046875,13.15460205078125,43.756103515625,13.61541748046875
1663862556821531400,2.516531494140625,13.0157470703125,44.36798095703125,14.07623291015625
1663862556841520400,2.536520263671875,12.860107421875,44.2138671875,13.922119140625
1663862556861509400,2.55650927734375,14.0594482421875,43.310546875,14.5294189453125
1663862556881498400,2.576498291015625,12.9852294921875,42.999267578125,14.068603515625
1663862556901487400,2.5964873046875,14.20135498046875,42.8466796875,13.61236572265625
1663862556921446000,2.61644580078125,12.2528076171875,44.3603515625,13.46435546875
1663862556941465300,2.63646533203125,15.45257568359375,44.2230224609375,14.3829345703125
1663862556961454300,2.656454345703125,15.130615234375,43.597412109375,12.24517822265625
1663862556981443300,2.676443359375,13.7603759765625,43.603515625,13.46282958984375
1663862557001432300,2.696432373046875,14.95513916015625,42.53997802734375,13.15460205078125
1663862557021421300,2.71642138671875,17.53082275390625,41.78009033203125,12.54425048828125
1663862557041379800,2.7363798828125,16.61834716796875,41.9342041015625,13.00048828125
1663862557061399600,2.756399658203125,18.92547607421875,42.840576171875,11.7889404296875
1663862557081388500,2.776388427734375,18.621826171875,42.8466796875,12.55035400390625
1663862557101377500,2.79637744140625,20.2606201171875,41.17584228515625,12.23907470703125
1663862557121366500,2.816366455078125,21.60797119140625,40.106201171875,11.16790771484375
1663862557141355500,2.83635546875,22.686767578125,40.570068359375,11.93389892578125
1663862557161344500,2.856344482421875,21.28448486328125,39.33868408203125,10.40191650390625
1663862557181333500,2.87633349609375,23.73504638671875,39.7979736328125,10.10284423828125
1663862557201322500,2.896322509765625,24.4873046875,39.3463134765625,10.406494140625
1663862557221311500,2.9163115234375,24.64752197265625,39.66217041015625,11.77978515625
1663862557241300500,2.936300537109375,25.2197265625,37.98370361328125,10.858154296875
1663862557261289500,2.95628955078125,28.3416748046875,34.36431884765625,13.433837890625
1663862557281278700,2.97627880859375,30.767822265625,33.76922607421875,14.34783935546875
1663862557301267700,2.996267822265625,33.44573974609375,30.74493408203125,15.55633544921875
1663862557321256700,3.016256591796875,35.0311279296875,26.788330078125,14.471435546875
1663862557341245700,3.03624560546875,35.01129150390625,25.74920654296875,17.3614501953125
1663862557361204200,3.056204345703125,35.7147216796875,23.17352294921875,18.1121826171875
1663862557381223700,3.0762236328125,35.41107177734375,23.1781005859375,18.87359619140625
1663862557401212700,3.096212646484375,38.1439208984375,22.58453369140625,19.78759765625
1663862557421537300,3.116537353515625,35.83831787109375,21.81243896484375,19.02008056640625
1663862557441465300,3.13646533203125,36.7279052734375,20.62530517578125,22.06268310546875
1663862557461210400,3.15621044921875,36.773681640625,22.72796630859375,19.17724609375
1663862557481168600,3.176168701171875,35.8154296875,20.758056640625,20.08056640625
1663862557501188400,3.196188232421875,35.44464111328125,24.56207275390625,20.709228515625
1663862557521177300,3.21617724609375,34.8297119140625,24.39727783203125,19.3359375
1663862557541136000,3.236135986328125,35.79864501953125,26.82037353515625,18.1304931640625
1663862557561124900,3.256124755859375,35.9466552734375,26.66168212890625,17.2149658203125
1663862557581144300,3.276144287109375,33.85009765625,28.3355712890625,17.98248291015625
1663862557601102800,3.296102783203125,33.428955078125,29.99114990234375,16.31317138671875
1663862557621091800,3.316091796875,31.622314453125,31.0455322265625,15.5548095703125
1663862557641111300,3.336111328125,29.06494140625,32.55767822265625,15.25421142578125
1663862557661100300,3.356100341796875,29.8583984375,34.0576171875,12.67242431640625
1663862557681089300,3.37608935546875,27.43988037109375,34.967041015625,13.1317138671875
1663862557701109000,3.39610888671875,29.290771484375,36.0137939453125,10.546875
1663862557721067500,3.416067626953125,28.96728515625,35.23712158203125,8.71429443359375
1663862557741056500,3.436056396484375,29.27703857421875,35.53009033203125,7.34405517578125
1663862557761045500,3.45604541015625,28.118896484375,38.25836181640625,6.7474365234375
1663862557781248000,3.476248046875,28.8543701171875,37.18109130859375,4.913330078125
1663862557801023500,3.4960234375,26.26190185546875,37.1734619140625,4.60662841796875
1663862557820982000,3.51598193359375,26.31988525390625,39.752197265625,4.16107177734375
1663862557840971000,3.535970947265625,26.64031982421875,40.49835205078125,2.337646484375
1663862557860960000,3.5559599609375,26.49078369140625,40.6463623046875,1.8798828125
1663862557880979500,3.5759794921875,24.95269775390625,40.0360107421875,2.02789306640625
1663862557900968400,3.595968505859375,24.9359130859375,39.276123046875,2.02484130859375
1663862557920927000,3.615927001953125,26.9073486328125,38.81988525390625,1.41448974609375
1663862557940916000,3.635916015625,26.59759521484375,38.6627197265625,0.95672607421875
1663862557960905000,3.655905029296875,26.91192626953125,39.1143798828125,0.34942626953125
1663862557980955100,3.675955078125,27.05535888671875,38.65966796875,0.49896240234375
1663862558000944000,3.695944091796875,25.99334716796875,38.958740234375,0.1953125
1663862558020933000,3.71593310546875,27.545166015625,40.167236328125,-1.1688232421875
1663862558040922000,3.735922119140625,27.20947265625,38.80157470703125,-0.71868896484375
1663862558060911000,3.7559111328125,25.079345703125,39.08233642578125,-3.0059814453125
1663862558080930800,3.775930908203125,24.5086669921875,40.76690673828125,-1.3214111328125
1663862558100889000,3.79588916015625,23.760986328125,41.497802734375,-4.5196533203125
