time,seconds_elapsed,z,y,x
1663861813850908700,0.23290869140625,-88.9129638671875,-64.13116455078125,76.5472412109375
1663861813870867200,0.2528671875,-89.4622802734375,-61.4044189453125,75.64544677734375
1663861813890886700,0.27288671875,-89.92462158203125,-61.57379150390625,73.663330078125
1663861813910845200,0.29284521484375,-91.7724609375,-62.34130859375,73.199462890625
1663861813930864600,0.31286474609375,-88.726806640625,-62.4908447265625,72.7447509765625
1663861813950853600,0.332853515625,-89.788818359375,-62.19482421875,71.98333740234375
1663861813970843000,0.3528427734375,-89.3280029296875,-62.04376220703125,71.832275390625
1663861813990831900,0.372831787109375,-89.068603515625,-64.02740478515625,70.90911865234375
1663861814010820900,0.39282080078125,-91.77093505859375,-62.07427978515625,68.78204345703125
1663861814030809900,0.412809814453125,-91.7572021484375,-61.5997314453125,71.0693359375
1663861814050798800,0.432798828125,-89.80865478515625,-62.97760009765625,69.38934326171875
1663861814070787800,0.452787841796875,-91.49017333984375,-63.14697265625,67.7093505859375
1663861814090746400,0.472746337890625,-91.18499755859375,-63.1439208984375,68.0145263671875
1663861814110765800,0.492765869140625,-90.91796875,-64.8162841796875,67.85430908203125
1663861814130754800,0.5127548828125,-90.5975341796875,-64.06402587890625,66.79229736328125
1663861814150743800,0.532743896484375,-90.9027099609375,-64.0716552734375,66.02935791015625
1663861814170732800,0.55273291015625,-91.67327880859375,-64.3829345703125,65.264892578125
1663861814190721800,0.5727216796875,-90.73028564453125,-63.16070556640625,65.88134765625
1663861814210711000,0.5927109375,-91.1773681640625,-62.70751953125,65.5792236328125
1663861814230700000,0.612699951171875,-89.324951171875,-61.64398193359375,65.12908935546875
1663861814250963700,0.632963623046875,-91.607666015625,-61.4959716796875,65.27862548828125
1663861814270891500,0.6528916015625,-91.888427734375,-60.43548583984375,64.97955322265625
1663861814290667000,0.6726669921875,-91.1407470703125,-61.04736328125,64.36767578125
1663861814310656000,0.692656005859375,-92.37060546875,-61.50054931640625,64.97344970703125
1663861814330675500,0.712675537109375,-91.8975830078125,-60.7513427734375,63.45367431640625
1663861814350634000,0.732634033203125,-92.51556396484375,-61.06719970703125,62.23297119140625
1663861814370653400,0.7526533203125,-92.3919677734375,-62.29095458984375,61.31134033203125
1663861814390642700,0.772642578125,-91.85333251953125,-65.350341796875,58.8592529296875
1663861814410601000,0.79260107421875,-91.864013671875,-65.802001953125,59.31396484375
1663861814430590000,0.81258984375,-90.63262939453125,-65.2099609375,57.18536376953125
1663861814450580700,0.832580810546875,-90.62957763671875,-64.935302734375,53.52783203125
1663861814470569700,0.85256982421875,-89.86968994140625,-64.95819091796875,50.63323974609375
1663861814490559000,0.87255908203125,-88.0767822265625,-66.37115478515625,44.83795166015625
1663861814510548000,0.8925478515625,-84.59014892578125,-67.15240478515625,41.48406982421875
1663861814530537000,0.912536865234375,-82.97271728515625,-69.61212158203125,37.664794921875
1663861814550526000,0.93252587890625,-81.89239501953125,-68.8873291015625,33.2489013671875
1663861814570515000,0.952514892578125,-79.254150390625,-66.64276123046875,28.53851318359375
1663861814590504000,0.97250390625,-75.81024169921875,-62.56103515625,25.0579833984375
1663861814610584600,0.99258447265625,-73.7518310546875,-59.09423828125,21.1151123046875
1663861814630482000,1.01248193359375,-70.9442138671875,-56.09588623046875,15.4937744140625
1663861814650471000,1.032470947265625,-67.45758056640625,-50.30975341796875,15.98358154296875
1663861814670460000,1.0524599609375,-64.306640625,-45.7611083984375,13.8763427734375
1663861814690449000,1.072448974609375,-62.835693359375,-41.3604736328125,12.8326416015625
1663861814710438000,1.09243798828125,-59.60540771484375,-40.13824462890625,12.689208984375
1663861814730427100,1.11242724609375,-59.07745361328125,-36.9537353515625,11.7919921875
1663861814750416100,1.132416015625,-56.8939208984375,-34.81903076171875,12.109375
1663861814770405000,1.152405029296875,-54.45098876953125,-34.67254638671875,10.89324951171875
1663861814790394000,1.17239404296875,-54.266357421875,-33.29620361328125,11.81488037109375
1663861814810383000,1.192383056640625,-54.42657470703125,-33.60595703125,11.2030029296875
1663861814830372000,1.2123720703125,-51.98822021484375,-33.6029052734375,10.90087890625
1663861814850330600,1.23233056640625,-51.10015869140625,-34.81597900390625,11.04888916015625
1663861814870350000,1.25235009765625,-50.61798095703125,-33.75091552734375,11.05499267578125
1663861814890339000,1.272339111328125,-49.10430908203125,-34.20562744140625,10.90240478515625
1663861814910297600,1.292297607421875,-50.46234130859375,-33.599853515625,10.90240478515625
1663861814930317000,1.312317138671875,-48.65570068359375,-34.65423583984375,11.66229248046875
1663861814950306000,1.33230615234375,-48.14300537109375,-32.2174072265625,12.13226318359375
1663861814970295300,1.35229541015625,-49.359130859375,-32.0709228515625,11.67449951171875
1663861814990284300,1.3722841796875,-45.81298828125,-30.37567138671875,13.66729736328125
1663861815010669800,1.392669921875,-44.27032470703125,-29.4921875,9.86328125
1663861815030262300,1.41226220703125,-46.53472900390625,-28.56903076171875,11.846923828125
1663861815050251300,1.432251220703125,-44.1375732421875,-30.39398193359375,11.077880859375
1663861815070270700,1.452270751953125,-45.6695556640625,-30.69610595703125,11.6851806640625
1663861815090229200,1.472229248046875,-43.4814453125,-28.4027099609375,12.7655029296875
1663861815110218200,1.49221826171875,-40.69061279296875,-26.416015625,13.3880615234375
1663861815130543000,1.512543212890625,-38.800048828125,-23.81744384765625,14.77508544921875
1663861815150471000,1.532470947265625,-37.50457763671875,-20.4620361328125,15.7073974609375
1663861815170246400,1.552246337890625,-39.15863037109375,-19.537353515625,17.6910400390625
1663861815190205000,1.572204833984375,-39.25628662109375,-17.1142578125,16.7877197265625
1663861815210194000,1.59219384765625,-38.1622314453125,-16.021728515625,19.842529296875
1663861815230152400,1.61215234375,-37.55035400390625,-15.87982177734375,18.4722900390625
1663861815250141400,1.632141357421875,-39.35394287109375,-14.81170654296875,19.54193115234375
1663861815270130400,1.65213037109375,-39.05029296875,-14.8162841796875,18.93310546875
1663861815290119400,1.672119384765625,-36.17706298828125,-15.87066650390625,19.23675537109375
1663861815310108400,1.6921083984375,-37.98980712890625,-15.11688232421875,18.93310546875
1663861815330097400,1.712097412109375,-37.98065185546875,-14.794921875,21.06781005859375
1663861815350086400,1.73208642578125,-36.7340087890625,-13.5833740234375,20.31402587890625
1663861815370075400,1.752075439453125,-36.60125732421875,-14.49432373046875,20.4620361328125
1663861815390064400,1.772064453125,-35.797119140625,-12.6617431640625,21.234130859375
1663861815410053400,1.792053466796875,-35.51788330078125,-13.8580322265625,23.5137939453125
1663861815430042400,1.81204248046875,-32.06329345703125,-9.576416015625,25.82550048828125
1663861815450031600,1.832031494140625,-29.78973388671875,-10.30120849609375,29.48150634765625
1663861815470051000,1.852051025390625,-28.192138671875,-7.23724365234375,31.9366455078125
1663861815490009600,1.872009521484375,-29.3548583984375,-4.78515625,34.69085693359375
1663861815509998600,1.89199853515625,-29.59747314453125,-2.17742919921875,37.59918212890625
1663861815529987600,1.911987548828125,-29.12445068359375,-1.678466796875,42.63153076171875
1663861815549976600,1.9319765625,-30.46722412109375,-0.45013427734375,44.464111328125
1663861815569996000,1.95199609375,-31.0577392578125,0.32501220703125,46.44927978515625
1663861815589954600,1.97195458984375,-33.489990234375,0.63323974609375,47.51434326171875
1663861815609943600,1.991943603515625,-34.85565185546875,0.80108642578125,49.64752197265625
1663861815629932500,2.0119326171875,-34.81597900390625,2.618408203125,48.89373779296875
1663861815649921500,2.031921630859375,-34.088134765625,1.10015869140625,48.88763427734375
1663861815669910800,2.051910888671875,-36.04583740234375,2.032470703125,51.9378662109375
1663861815689899800,2.071899658203125,-34.23004150390625,1.422119140625,51.1749267578125
1663861815709888800,2.091888671875,-31.0455322265625,0.67291259765625,51.6326904296875
1663861815729877800,2.111877685546875,-31.94122314453125,1.5716552734375,50.26397705078125
1663861815749866800,2.13186669921875,-30.438232421875,0.52642822265625,52.08892822265625
1663861815769855700,2.151855712890625,-27.2369384765625,0.52337646484375,51.02691650390625
1663861815789844700,2.1718447265625,-26.1749267578125,0.2349853515625,52.54974365234375
1663861815809833700,2.191833740234375,-26.50299072265625,-0.82244873046875,53.30657958984375
1663861815829822700,2.21182275390625,-25.4364013671875,-0.8270263671875,52.545166015625
1663861815849811700,2.231811767578125,-23.193359375,-2.79083251953125,53.45306396484375
1663861815869800700,2.25180078125,-22.69439697265625,-0.96282958984375,53.76739501953125
1663861815889789700,2.271789794921875,-21.83380126953125,-3.38592529296875,54.67071533203125
1663861815909779000,2.291779052734375,-20.43304443359375,-2.16064453125,55.43975830078125
1663861815929768000,2.311767822265625,-20.294189453125,-2.76947021484375,55.28564453125
1663861815949757000,2.3317568359375,-20.458984375,-3.36761474609375,56.50177001953125
1663861815969746000,2.351745849609375,-18.8262939453125,-5.33447265625,57.10296630859375
1663861815989735000,2.37173486328125,-17.45758056640625,-5.61981201171875,58.9324951171875
1663861816009724000,2.391723876953125,-17.913818359375,-5.48095703125,57.56072998046875
1663861816030018000,2.41201806640625,-16.2506103515625,-6.0882568359375,57.10296630859375
1663861816049793500,2.43179345703125,-16.131591796875,-7.60498046875,57.55157470703125
1663861816069691000,2.45169091796875,-15.0360107421875,-6.25,55.731201171875
1663861816089680000,2.471679931640625,-14.90478515625,-7.16552734375,55.2703857421875
1663861816109668900,2.4916689453125,-13.42010498046875,-8.98284912109375,55.56793212890625
1663861816129657900,2.511657958984375,-12.4969482421875,-8.660888671875,57.55157470703125
1663861816149647000,2.531647216796875,-12.078857421875,-10.3424072265625,56.32476806640625
1663861816169636000,2.551635986328125,-10.87799072265625,-11.236572265625,57.99713134765625
1663861816189625000,2.571625,-9.5428466796875,-12.90740966796875,57.83843994140625
1663861816209614000,2.591614013671875,-7.77740478515625,-15.78521728515625,58.587646484375
1663861816229603000,2.61160302734375,-8.23516845703125,-15.78521728515625,58.587646484375
1663861816249592000,2.631592041015625,-6.29730224609375,-17.7490234375,59.4940185546875
1663861816269581000,2.6515810546875,-4.64935302734375,-19.1009521484375,61.0137939453125
1663861816289570000,2.671570068359375,-4.43267822265625,-23.04229736328125,62.21466064453125
1663861816309559000,2.69155908203125,-2.62603759765625,-24.0936279296875,63.2781982421875
1663861816329548000,2.711548095703125,-2.691650390625,-26.9805908203125,63.262939453125
1663861816349506600,2.731506591796875,-1.66473388671875,-28.7994384765625,63.56048583984375
1663861816369526000,2.751526123046875,-0.34027099609375,-30.91888427734375,64.312744140625
1663861816389515300,2.771515380859375,-0.21820068359375,-32.2845458984375,64.459228515625
1663861816409473500,2.7914736328125,-0.457763671875,-36.0931396484375,63.525390625
1663861816429493200,2.8114931640625,1.19171142578125,-37.30621337890625,63.3697509765625
1663861816449482200,2.831482177734375,-0.41656494140625,-40.9576416015625,63.34991455078125
1663861816469471200,2.85147119140625,-0.86822509765625,-40.79132080078125,65.02685546875
1663861816489460200,2.871460205078125,-0.18463134765625,-44.2840576171875,65.16265869140625
1663861816509449200,2.89144921875,0.07476806640625,-46.2615966796875,65.00091552734375
1663861816529407700,2.91140771484375,-0.87890625,-47.9461669921875,63.6199951171875
1663861816549427200,2.93142724609375,1.22528076171875,-49.29962158203125,64.8345947265625
1663861816569416200,2.951416259765625,-0.6439208984375,-51.11846923828125,65.8905029296875
1663861816589405200,2.9714052734375,-0.9765625,-52.20489501953125,63.29345703125
1663861816609394200,2.991394287109375,-0.87738037109375,-54.62188720703125,64.95819091796875
1663861816629383400,3.011383544921875,-1.6265869140625,-54.01763916015625,64.80865478515625
1663861816649372400,3.031372314453125,-1.2237548828125,-56.44378662109375,65.25421142578125
1663861816669361400,3.051361328125,-1.50299072265625,-55.3741455078125,66.02020263671875
1663861816689350400,3.071350341796875,-1.812744140625,-55.6610107421875,68.15338134765625
1663861816709339400,3.09133935546875,-1.1871337890625,-54.91180419921875,66.78619384765625
1663861816729328400,3.111328369140625,-1.0467529296875,-55.499267578125,69.06890869140625
1663861816749317400,3.1313173828125,-1.94549560546875,-54.75311279296875,67.7001953125
1663861816769306400,3.151306396484375,-1.14593505859375,-53.08685302734375,66.7938232421875
1663861816789295400,3.17129541015625,-0.6622314453125,-51.88140869140625,65.4296875
1663861816809284400,3.191284423828125,-0.81024169921875,-51.72271728515625,66.34368896484375
1663861816829273300,3.2112734375,-0.0244140625,-50.66680908203125,65.283203125
1663861816849262600,3.2312626953125,-1.263427734375,-51.5594482421875,67.71697998046875
1663861816869220900,3.251220947265625,-0.49591064453125,-51.26800537109375,66.04156494140625
1663861816889240600,3.271240478515625,-0.3753662109375,-52.6458740234375,64.8162841796875
1663861816909473500,3.2914736328125,0.07781982421875,-52.93426513671875,66.644287109375
1663861816929371100,3.31137109375,-0.67901611328125,-52.63824462890625,65.88287353515625
1663861816949207600,3.33120751953125,-0.37994384765625,-52.9388427734375,66.1865234375
1663861816969196500,3.351196533203125,-0.07476806640625,-52.79998779296875,64.5111083984375
1663861816989185500,3.371185546875,0.1007080078125,-51.8798828125,65.4296875
1663861817009205000,3.391205078125,-0.35858154296875,-51.885986328125,64.8193359375
1663861817029194000,3.411194091796875,0.37841796875,-52.95867919921875,63.59710693359375
1663861817049152500,3.431152587890625,1.7364501953125,-53.57208251953125,62.6800537109375
1663861817069172200,3.451172119140625,0.86212158203125,-51.88446044921875,64.82086181640625
1663861817089161200,3.4711611328125,-0.05035400390625,-51.74102783203125,63.9068603515625
1663861817109150200,3.491150146484375,-0.04119873046875,-51.29547119140625,62.689208984375
1663861817129139200,3.51113916015625,0.2349853515625,-52.51312255859375,62.37945556640625
1663861817149097700,3.53109765625,1.141357421875,-52.960205078125,63.29193115234375
1663861817169117200,3.5511171875,-0.8453369140625,-53.12652587890625,62.0697021484375
1663861817189106200,3.571106201171875,-0.97198486328125,-51.922607421875,60.70404052734375
1663861817209064700,3.591064697265625,0.2349853515625,-52.520751953125,61.61651611328125
1663861817229053700,3.6110537109375,0.1983642578125,-54.18243408203125,62.67547607421875
1663861817249042700,3.631042724609375,-0.1007080078125,-53.887939453125,61.61041259765625
1663861817269062100,3.651062255859375,0.37689208984375,-52.98004150390625,61.1572265625
1663861817289020700,3.671020751953125,0.531005859375,-52.83203125,60.54840087890625
1663861817309009700,3.691009765625,-0.360107421875,-51.90582275390625,62.5335693359375
1663861817328999000,3.7109990234375,-0.68511962890625,-52.68402099609375,60.39581298828125
1663861817348988000,3.73098779296875,-0.99639892578125,-52.98614501953125,60.699462890625
1663861817368977000,3.750976806640625,-1.4251708984375,-51.75933837890625,62.0758056640625
1663861817388966000,3.7709658203125,0.21820068359375,-53.143310546875,59.78546142578125
1663861817408955000,3.790954833984375,0.1007080078125,-51.62811279296875,59.3353271484375
1663861817428913400,3.810913330078125,0.50048828125,-54.2022705078125,60.23712158203125
1663861817448932900,3.830932861328125,-0.97503662109375,-51.9378662109375,58.87603759765625
1663861817468921900,3.850921875,-0.7049560546875,-53.4637451171875,58.10546875
1663861817488910800,3.870910888671875,0.5218505859375,-53.15399169921875,58.4136962890625
1663861817508899800,3.89089990234375,0.3814697265625,-52.691650390625,59.33074951171875
1663861817528888800,3.910888916015625,1.2939453125,-52.83050537109375,60.5499267578125
1663861817548847400,3.930847412109375,0.4058837890625,-51.617431640625,60.40191650390625
1663861817568867000,3.9508671875,0.982666015625,-53.13568115234375,60.54840087890625
1663861817588856000,3.97085595703125,-0.96588134765625,-51.61895751953125,60.70556640625
1663861817608814600,3.990814697265625,1.300048828125,-52.5360107421875,59.48486328125
1663861817628834000,4.010833984375,-0.07781982421875,-52.83050537109375,60.85357666015625
1663861817648823000,4.030822998046875,-0.37078857421875,-52.239990234375,58.87451171875
1663861817668812000,4.05081201171875,-0.5615234375,-53.91082763671875,59.0179443359375
1663861817688780500,4.070780517578125,-0.7171630859375,-54.0557861328125,59.93194580078125
1663861817708769500,4.09076953125,0.97198486328125,-53.5919189453125,60.54534912109375
1663861817728758500,4.110758544921875,0.0762939453125,-52.691650390625,59.33074951171875
1663861817748717000,4.130717041015625,0.0518798828125,-53.76129150390625,58.563232421875
1663861817768736800,4.15073681640625,0.2410888671875,-52.0904541015625,58.41827392578125
1663861817789000400,4.17100048828125,0.531005859375,-52.838134765625,59.7869873046875
1663861817808928300,4.19092822265625,1.318359375,-51.77001953125,60.2508544921875
1663861817828703700,4.210703857421875,0.96435546875,-53.90167236328125,59.78240966796875
1663861817848692700,4.230692626953125,1.3092041015625,-52.08587646484375,58.7249755859375
1663861817868681700,4.250681640625,-0.9796142578125,-52.22930908203125,60.3973388671875
1663861817888670700,4.270670654296875,-0.054931640625,-51.7730712890625,60.24932861328125
1663861817908659700,4.29065966796875,0.39215087890625,-52.22625732421875,60.39886474609375
1663861817928618200,4.3106181640625,1.16119384765625,-51.93328857421875,58.8775634765625
1663861817948637700,4.3306376953125,0.8148193359375,-53.7506103515625,59.62982177734375
1663861817968626700,4.350626708984375,1.91497802734375,-52.23846435546875,58.5723876953125
1663861817988615700,4.37061572265625,0.4058837890625,-51.62506103515625,59.6405029296875
1663861818008605000,4.39060498046875,0.88043212890625,-50.8636474609375,59.64508056640625
1663861818028594000,4.410593994140625,0.50506591796875,-53.912353515625,58.71429443359375
1663861818048583000,4.4305830078125,-1.00860595703125,-53.4515380859375,59.62982177734375
1663861818068572000,4.450572021484375,0.8636474609375,-51.62353515625,59.6405029296875
1663861818088561000,4.470560791015625,-0.042724609375,-51.31072998046875,60.8612060546875
1663861818108550000,4.4905498046875,-0.518798828125,-52.081298828125,59.7900390625
1663861818128508400,4.51050830078125,0.84991455078125,-52.22930908203125,59.942626953125
1663861818148527900,4.53052783203125,1.44805908203125,-52.6947021484375,58.5693359375
1663861818168516900,4.550516845703125,0.12054443359375,-50.84991455078125,61.47308349609375
1663861818188505900,4.570505859375,-0.08544921875,-53.1402587890625,60.24169921875
1663861818208494800,4.590494873046875,-1.13983154296875,-52.54058837890625,59.4818115234375
1663861818228484000,4.610484130859375,0.244140625,-52.07366943359375,60.552978515625
1663861818248473000,4.63047314453125,-0.06103515625,-52.07061767578125,60.85662841796875
