time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1663861875073297200,0.259297119140625,-0.047418080270290375,0.038167696446180344,0.15170983970165253,0.9865489602088928,0.09403418004512787,-0.30020779371261597,0.1102873906493187
1663861875083184600,0.2691845703125,-0.04698740318417549,0.03483515605330467,0.1478029191493988,0.9872856736183167,0.0864553451538086,-0.2927369177341461,0.10786651074886322
1663861875093102800,0.279102783203125,-0.04081369563937187,0.029048558324575424,0.14358346164226532,0.9883694648742676,0.07211712002754211,-0.2853109538555145,0.09290370345115662
1663861875102990600,0.288990478515625,-0.03550287336111069,0.023810621351003647,0.1397317349910736,0.9892662167549133,0.05934976786375046,-0.2783536911010742,0.0800616443157196
1663861875112878300,0.29887841796875,-0.03185494616627693,0.020719952881336212,0.13770204782485962,0.9897444844245911,0.05175044760107994,-0.27470147609710693,0.07150239497423172
1663861875122766000,0.30876611328125,-0.03318719565868378,0.020365502685308456,0.13697440922260284,0.989808976650238,0.05133289843797684,-0.27319076657295227,0.07408995926380157
1663861875132623000,0.318623046875,-0.039434563368558884,0.0222715325653553,0.1364256888628006,0.9896145462989807,0.05695761740207672,-0.2715875506401062,0.08743911981582642
1663861875142480400,0.32848046875,-0.05916629359126091,0.02782660722732544,0.133363738656044,0.988908052444458,0.073415108025074,-0.26351532340049744,0.12925103306770325
1663861875152368000,0.3383681640625,-0.0826285183429718,0.03354524448513985,0.13004936277866364,0.9874889254570007,0.09077641367912292,-0.2540241777896881,0.17856177687644958
1663861875162225200,0.34822509765625,-0.09864571690559387,0.03615396469831467,0.12790514528751373,0.9862059354782104,0.09974918514490128,-0.2476731389760971,0.2118140161037445
1663861875172113000,0.35811279296875,-0.10706441104412079,0.03605395928025246,0.12696893513202667,0.9854522943496704,0.10144387930631638,-0.24496613442897797,0.22893917560577393
1663861875182031000,0.368031005859375,-0.10967664420604706,0.033921681344509125,0.12608876824378967,0.9853537082672119,0.09753353148698807,-0.243440642952919,0.23364129662513733
1663861875191888400,0.377888427734375,-0.10727820545434952,0.029914529994130135,0.1253480762243271,0.9858419299125671,0.0885939970612526,-0.24311628937721252,0.2276143878698349
1663861875201776000,0.387776123046875,-0.10042542219161987,0.025031810626387596,0.12495604157447815,0.9867492914199829,0.07684715837240219,-0.24398642778396606,0.21227572858333588
1663861875211664000,0.397663818359375,-0.09140408039093018,0.020110636949539185,0.12521567940711975,0.9877053499221802,0.06460830569267273,-0.2461543083190918,0.19255298376083374
1663861875221521000,0.40752099609375,-0.0855705514550209,0.016504164785146713,0.12622582912445068,0.9881661534309387,0.055977772921323776,-0.24921123683452606,0.17977291345596313
1663861875231408600,0.41740869140625,-0.08911772817373276,0.015479838475584984,0.12794534862041473,0.9876478910446167,0.055159877985715866,-0.2526501417160034,0.18698428571224213
1663861875241326800,0.427326904296875,-0.10199388861656189,0.01612726040184498,0.1294814944267273,0.9861904978752136,0.060201309621334076,-0.2548467218875885,0.213826522231102
1663861875251214600,0.437214599609375,-0.11756362020969391,0.015719164162874222,0.12904314696788788,0.9845199584960938,0.06335241347551346,-0.2530883550643921,0.24576131999492645
1663861875261071600,0.447071533203125,-0.12992741167545319,0.01374515425413847,0.12738460302352905,0.9832106232643127,0.062091533094644547,-0.2495006024837494,0.2705584764480591
1663861875270959400,0.45695947265625,-0.137339249253273,0.010227164253592491,0.1258188784122467,0.9824474453926086,0.05639438331127167,-0.24691294133663177,0.2847854793071747
1663861875280847000,0.46684716796875,-0.14091095328330994,0.006782826501876116,0.12554249167442322,0.9820067286491394,0.05024978145956993,-0.24716447293758392,0.2912830710411072
1663861875290734800,0.47673486328125,-0.14249885082244873,0.004065673798322678,0.12655408680438995,0.9816626906394958,0.0454777367413044,-0.24990110099315643,0.2940208315849304
1663861875300622600,0.48662255859375,-0.1414632350206375,0.001721572712995112,0.12808123230934143,0.9816213250160217,0.04093872755765915,-0.2536795437335968,0.29147425293922424
1663861875310510000,0.496510009765625,-0.13957694172859192,-0.0007971497834660113,0.1292475163936615,0.9817396402359009,0.03569262847304344,-0.2568109333515167,0.2870621681213379
1663861875320397800,0.506397705078125,-0.13649636507034302,-0.0034741314593702555,0.13002976775169373,0.9820635914802551,0.029669122770428658,-0.25923728942871094,0.2800767421722412
1663861875330285600,0.51628564453125,-0.13275092840194702,-0.007001443766057491,0.1311272829771042,0.9824122190475464,0.021806633099913597,-0.262505441904068,0.27150678634643555
1663861875340173300,0.52617333984375,-0.12696698307991028,-0.011860087513923645,0.1333884745836258,0.9828256368637085,0.010951432399451733,-0.26841849088668823,0.2584269344806671
1663861875350061000,0.53606103515625,-0.12236529588699341,-0.017962593585252762,0.13704055547714233,0.9828143119812012,-0.0018400687258690596,-0.27730730175971985,0.24747836589813232
1663861875359918000,0.54591796875,-0.11889559030532837,-0.02451859414577484,0.1417173445224762,0.9824351668357849,-0.015100319869816303,-0.28826215863227844,0.23867955803871155
1663861875369805800,0.555805908203125,-0.12099552154541016,-0.030364669859409332,0.14690499007701874,0.9812527894973755,-0.02516881935298443,-0.30013567209243774,0.24156993627548218
1663861875379693600,0.565693603515625,-0.12726058065891266,-0.03491238132119179,0.1517713963985443,0.9795668721199036,-0.0312764011323452,-0.3112264573574066,0.25347602367401123
1663861875389581300,0.575581298828125,-0.13675065338611603,-0.03792640566825867,0.1553385704755783,0.9776148200035095,-0.033363908529281616,-0.3195037841796875,0.27258405089378357
1663861875399469000,0.585468994140625,-0.14402948319911957,-0.03971341624855995,0.15814898908138275,0.9760467410087585,-0.03375067189335823,-0.3258998394012451,0.28746429085731506
