time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1663861755271063600,0.2630634765625,0.7631526589393616,0.17947711050510406,-0.021464498713612556,0.620423436164856,0.2668088376522064,-0.24989549815654755,-1.7426795959472656
1663861755280951300,0.272951416015625,0.7476491928100586,0.1782604157924652,-0.006286288145929575,0.6396908760070801,0.24836423993110657,-0.26147937774658203,-1.693293571472168
1663861755290839000,0.282839111328125,0.7350027561187744,0.17337195575237274,0.010525139980018139,0.6554405689239502,0.22169314324855804,-0.2719963490962982,-1.6546534299850464
1663861755300696300,0.2926962890625,0.725671648979187,0.16668376326560974,0.025676285848021507,0.6670516729354858,0.19380970299243927,-0.27980703115463257,-1.6275500059127808
1663861755310583800,0.302583740234375,0.7174779772758484,0.1602914184331894,0.03961300477385521,0.6767295002937317,0.16774679720401764,-0.2875729501247406,-1.6048903465270996
1663861755320471600,0.312471435546875,0.7095320224761963,0.15379242599010468,0.052695609629154205,0.6856642365455627,0.14274071156978607,-0.2947537899017334,-1.5837817192077637
1663861755330359300,0.322359375,0.70542973279953,0.1463179886341095,0.06315554678440094,0.690631091594696,0.11848926544189453,-0.2980622947216034,-1.5741852521896362
1663861755340277500,0.332277587890625,0.7050351500511169,0.13808868825435638,0.06997547298669815,0.6920696496963501,0.09681492298841476,-0.29586830735206604,-1.5749176740646362
1663861755350165200,0.342165283203125,0.7102466225624084,0.13261128962039948,0.06857478618621826,0.6879400014877319,0.0887811928987503,-0.2866329252719879,-1.5898816585540771
1663861755360053000,0.352052978515625,0.7209485173225403,0.1330605447292328,0.055901266634464264,0.6777929067611694,0.1037345752120018,-0.2709413468837738,-1.6183310747146606
1663861755369910000,0.361909912109375,0.7337104678153992,0.13656850159168243,0.04026301950216293,0.6643770337104797,0.12686963379383087,-0.25671347975730896,-1.653502106666565
1663861755379797800,0.3717978515625,0.7403357625007629,0.1382211595773697,0.032850321382284164,0.6570530533790588,0.1377142071723938,-0.2504386603832245,-1.6724908351898193
1663861755389655000,0.381655029296875,0.7392537593841553,0.13793028891086578,0.034063681960105896,0.6582695245742798,0.13590478897094727,-0.25141748785972595,-1.6693625450134277
1663861755399542800,0.391542724609375,0.7342475652694702,0.13616088032722473,0.03902667760848999,0.663940966129303,0.1279546618461609,-0.25451329350471497,-1.654886245727539
1663861755409430300,0.40143017578125,0.7314875721931458,0.13389664888381958,0.04301740229129791,0.6671934723854065,0.1199251264333725,-0.25607895851135254,-1.6472090482711792
1663861755419318000,0.411318115234375,0.7335556745529175,0.13126717507839203,0.0439298152923584,0.6653834581375122,0.11413072794675827,-0.2537585496902466,-1.6536073684692383
1663861755429175300,0.42117529296875,0.7399716973304749,0.128691166639328,0.04295668751001358,0.6588134765625,0.10960358381271362,-0.24964144825935364,-1.6729415655136108
1663861755439063000,0.43106298828125,0.7467312812805176,0.12663082778453827,0.042872920632362366,0.6515511870384216,0.10434713214635849,-0.24750547111034393,-1.693734049797058
1663861755448981200,0.440981201171875,0.7513224482536316,0.12479308992624283,0.04648914188146591,0.6463590264320374,0.09454638510942459,-0.2502199411392212,-1.70881187915802
1663861755458838300,0.45083837890625,0.751469075679779,0.12319480627775192,0.05435996130108833,0.6458809971809387,0.0801803395152092,-0.25823482871055603,-1.7112197875976562
1663861755468726000,0.46072607421875,0.7478840947151184,0.122024767100811,0.06433526426553726,0.6493383646011353,0.06461247056722641,-0.26931530237197876,-1.7028661966323853
1663861755478583300,0.470583251953125,0.7432999014854431,0.12173858284950256,0.0731135904788971,0.6537119746208191,0.052546098828315735,-0.2802199423313141,-1.6914650201797485
1663861755488470800,0.480470703125,0.73972487449646,0.12203336507081985,0.07850900292396545,0.6570778489112854,0.04613203555345535,-0.287666380405426,-1.682313323020935
1663861755498389000,0.490388916015625,0.7398270964622498,0.1226557195186615,0.07991760969161987,0.6566769480705261,0.04472854733467102,-0.29051756858825684,-1.683194875717163
1663861755508276700,0.50027685546875,0.7419937252998352,0.12322066724300385,0.07963324338197708,0.6541563272476196,0.04494219273328781,-0.29113858938217163,-1.6898688077926636
1663861755518164500,0.51016455078125,0.7438304424285889,0.12364551424980164,0.08093734085559845,0.6518260836601257,0.04262031242251396,-0.2936592102050781,-1.6961455345153809
1663861755528052200,0.52005224609375,0.7426422238349915,0.12419790774583817,0.08506046235561371,0.652550458908081,0.03743154928088188,-0.2999597191810608,-1.6941062211990356
1663861755537940000,0.52993994140625,0.73897385597229,0.12520910799503326,0.09097088128328323,0.6557168364524841,0.031240133568644524,-0.3092609941959381,-1.6851762533187866
1663861755547827700,0.53982763671875,0.7332119941711426,0.12634962797164917,0.0973624512553215,0.6610268354415894,0.02556183561682701,-0.319403737783432,-1.6701340675354004
1663861755557715200,0.549715087890625,0.7282934784889221,0.12743839621543884,0.10217493027448654,0.6655135750770569,0.021966073662042618,-0.3274427652359009,-1.6571905612945557
1663861755567603000,0.55960302734375,0.7247700095176697,0.12829716503620148,0.10449892282485962,0.6688260436058044,0.021305235102772713,-0.33181023597717285,-1.647472858428955
1663861755577490700,0.56949072265625,0.7234734892845154,0.1291416883468628,0.10431921482086182,0.6700940728187561,0.023416463285684586,-0.33277660608291626,-1.6434345245361328
1663861755587317200,0.579317138671875,0.7220250368118286,0.12990835309028625,0.10349062085151672,0.6716348528862,0.02651326172053814,-0.33271461725234985,-1.638626217842102
1663861755597205000,0.589205078125,0.7196566462516785,0.13046084344387054,0.10351791232824326,0.6740610599517822,0.028453560546040535,-0.333475261926651,-1.6314141750335693
